Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
Q,Completely Locked,06/19/2020 01:41:21 PM,Q483,Q483,,Reopened,false,Not Applicable,"Corona Ave. bet. 104 St. and 106 St., 50 Av.",Corona Health Sanctuary,POINT (1023512.372578636 210282.6060593128),Adults not allowed in some locations,Q483-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 01:41:18 PM,404,Q-04
X,Completely Locked,07/06/2020 12:47:41 PM,X104,X104-01,,Reopened,false,Not Applicable,"Reservoir Oval East, Holt Pl",Plgd w/ Mini Pool & Courts,POINT (1018436.162586719 258995.3924918175),Unknown,X104-CPA-0001,03/31/2020 07:11:11 PM,07/06/2020 12:00:00 AM,207,X-07
Q,Completely Locked,06/22/2020 01:30:36 PM,Q436,Q436,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,30 Ave. bet. 29 St. and 30 St.,Athens Square,POINT (1005803.1225641371 219058.3778778166),Adults Allowed,Q436-CPA-0002,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,401,Q-01
B,Completely Locked,06/22/2020 03:28:45 PM,B052,B052-03,,Reopened,false,Not Applicable,"8th Ave To Ft Hamilton Pkwy, Btwn 66th And 67th Street",Leif Ericson Park Playground,POINT (980736.9013712256 169265.1451153904),Unknown,B052-CPA-0002,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,310,B-10
M,Completely Locked,06/22/2020 03:31:06 PM,M140,M140-01,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,W 148 St & Hudson River,Ten Mile River Plgd,POINT (997466.839039892 241644.99116906518),Adults Allowed,M140-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,109,M-14
B,Not Lockable,06/23/2020 10:01:04 AM,B359,B359,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Kosciuszko St. to Dekalb Ave. between Lewis Ave. and Stuyvesant Ave.,Eleanor Roosevelt Playground,POINT (1002033.0720333899 191680.072398305),Adults not allowed in some locations,B359-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,303,B-03
Q,Partially Locked,06/22/2020 03:13:41 PM,Q141,Q141,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"45 Ave., 45 Rd. bet. 11 St. and 21 St.",Murray Playground,POINT (998489.1627826391 211495.0599992275),Adults not allowed in some locations,Q141-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,402,Q-02
Q,Completely Locked,06/21/2020 02:55:40 PM,Q414,Q414,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,N Conduit Ave. and 149 Ave.bet. Whitelaw St. and Lafayette St.,Rocket Playground,POINT (1026814.7514725479 183661.6241963953),Adults Allowed,Q414-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 02:55:37 PM,410,Q-10
Q,Completely Locked,06/22/2020 01:08:51 PM,Q212,Q212,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,137 St. bet. 76 Ave. and 76 Rd.,Queens Valley Playground,POINT (1033037.101888716 202288.2270349711),Adults Allowed,Q212-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,408,Q-08
B,Completely Locked,06/24/2020 11:34:10 AM,B253,B253,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Adelphi St., Clermont Ave., Dekalb Ave., Willoughby Ave.",Albert J. Parham Playground,POINT (992384.060163468 190768.13885472712),Adults Allowed,B253-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,302,B-02
Q,Completely Locked,06/21/2020 01:06:24 PM,Q300,Q300-04,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Kissena Blvd & Booth Mem Ave,Captain Mario Fajardo Park,POINT (1035603.9314007161 210130.5676494837),Unknown,Q300-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 01:06:22 PM,407,Q-07
X,Completely Locked,06/22/2020 09:57:19 AM,X247,X247,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,E 156 St bet. Fox St and Southern Blvd,Fox Playground,POINT (1012320.263729304 236208.23334181312),Adults not allowed in some locations,X247-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,202,X-02
B,Completely Locked,06/23/2020 10:01:04 AM,B088,B088-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Lafayette Ave Btw Marcy & Tompkins Aves,Herbert Von King Park,POINT (999103.0319617242 190713.3915888965),Adults not allowed in some locations,B088-CPA-0002,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,303,B-03
B,Completely Locked,06/22/2020 04:19:50 PM,B111,B111,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"3 St., 4 St. bet. 4 Ave. and 5 Ave.",J.J. Byrne Playground,POINT (988655.0426871331 184398.4760691375),Adults Allowed,B111-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,306,B-06
B,Completely Locked,06/22/2020 04:39:33 PM,B221,B221,,Reopened,,,"Flushing Ave., Steuben St., Williamsburg Pl.",Steuben Playground,POINT (994382.7625308931 193376.5604751408),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,302,B-02
B,Completely Locked,06/22/2020 03:45:07 PM,B251,B251-08,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Langham St & Oriental Ave,Manhattan Beach Park Playground,POINT (1000729.751477301 149683.7210237235),Adults not allowed in some locations,B251-CPA-0002,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,315,B-15
R,Completely Locked,06/22/2020 05:03:39 PM,R135,R135-01,,UnderConstruction,false,Not Applicable,"Armstrong Ave, Tennyson Dr",Crescent Beach Tot Lot,POINT (943466.3496001364 134521.4833036363),Unknown,R135-CPA-0001,03/31/2020 07:11:11 PM,,503,R-03
X,Completely Locked,06/22/2020 10:13:42 AM,X106,X106,,UnderConstruction,false,Not Applicable,E 146 St bet. Walton Av and Grand Concourse,Garrison Playground,POINT (1004125.994028643 237081.80114847422),Unknown,X106-CPA-0001,03/31/2020 07:11:11 PM,,201,X-01
M,Partially Locked,06/22/2020 05:24:24 PM,M187,M187,,Reopened,,,"2 Ave., E. 96 St. to E. 97 St.",Marx Brothers Playground,POINT (999157.4183358847 225035.9207127243),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,111,M-11
X,Completely Locked,06/22/2020 09:55:29 AM,X216,X216,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 156 St bet. Tinton Av and Union Av,Abigail Playground,POINT (1010629.733645812 237091.5278350562),Adults Allowed,X216-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,201,X-01
B,Completely Locked,06/23/2020 10:04:35 AM,B269,B269,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Lafayette Ave. bet. Stuyvesant Ave. and Malcom X Blvd.,Jesse Owens Playground,POINT (1003069.6142516431 191335.7128508091),Unknown,B269-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,303,B-03
Q,Completely Locked,06/21/2020 06:57:14 PM,Q304,Q304,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Austin St. bet. 76 Ave. and 76 Dr.,Ehrenreich-Austin Playground,POINT (1029358.2319498811 200116.3721267283),Adults Allowed,Q304-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 10:00:00 AM,406,Q-06
B,Completely Locked,06/22/2020 04:20:06 PM,B255J,B255J,true,Reopened,,,,Seeley Park,POINT (990385.4288767197 177341.7669895705),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,307,B-07
