Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
X,Completely Locked,06/22/2020 10:44:01 AM,X104,X104-02,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Reservoir Oval West & 208 St,Williamsbridge Oval,POINT (1017839.367520466 258936.0851957202),Adults not allowed in some locations,X104-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,207,X-07
R,Completely Locked,06/22/2020 01:46:45 PM,R036,R036,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Harbor Rd. at Richmond Terr.,Mariners Harbor Playground,POINT (939710.1372963041 171248.5929201394),Adults Allowed,R036-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,501,R-01
X,Completely Locked,06/22/2020 11:00:28 AM,X221,X221,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Lafayette Ave. bet. Bolton Ave. and Underhill Ave.,Space Time Playground,POINT (1023054.048364058 238799.88235796988),Adults Allowed,X221-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,209,X-09
B,Completely Locked,06/22/2020 01:55:05 PM,B169,B169,true,Reopened,,,,Beach at W 12 St,POINT (989889.8044875597 148034.3845164142),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,313,B-13
X,Completely Locked,06/22/2020 10:38:24 AM,X080,X080-01,,Reopened,false,Not Applicable,Kappock St & Independence Ave,Paul's Playground,POINT (1006406.691895053 260165.4039313048),Adults not allowed in some locations,X080-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,208,X-08
B,Completely Locked,06/22/2020 03:29:41 PM,B372,B372,,Reopened,false,Not Applicable,"Ave. L, E. 4 St., Mcdonald Ave., Ave. M",Friends Field,POINT (991859.854190886 164665.47386856383),Unknown,B372-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,312,B-12
Q,Completely Locked,06/22/2020 03:13:13 PM,Q471,Q471-02,,Reopened,,,,Hunter's Point South Playground (South),POINT (995251.6669610592 208919.4768958092),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,402,Q-02
X,Completely Locked,06/22/2020 10:58:24 AM,X118,X118-02,true,Reopened,,,,Soundview Playground,POINT (1020083.4540439862 237392.9387093694),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,209,X-09
M,Completely Locked,06/22/2020 01:09:52 PM,M230,M230,,Reopened,false,Not Applicable,E. 109 St. bet. 2 Ave. and 3 Ave.,Poor Richard's Playground,POINT (999997.1381131411 228239.04947705573),Adults Allowed,M230-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,111,M-11
X,Completely Locked,06/22/2020 09:42:22 AM,X034,X034-01,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,E 164 St & Jerome Ave,Mullaly Plgd (1),POINT (1004892.0679558071 242178.7030281425),Adults not allowed in some locations,X034-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,204,X-04
M,Completely Locked,06/22/2020 11:49:53 AM,M037,M037-09,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Ft George, St Nicholas Aves",Ft George Plgd,POINT (1004653.508393556 252019.9323613942),Adults not allowed in some locations,M037-CPA-0005,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,112,M-12A
X,Completely Locked,06/22/2020 11:05:37 AM,X093,X093,,Reopened,,,,Van Nest Park,POINT (1021369.4595613669 246609.14719869292),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,211,X-11
X,Completely Locked,06/22/2020 10:00:53 AM,X284,X284,,Reopened,false,Not Applicable,Hoe Av bet. Aldus St and Westchester Av,Printers Park,POINT (1014492.497573808 239267.0516992211),Adults not allowed in some locations,X284-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,202,X-02
Q,Partially Locked,06/21/2020 04:56:36 PM,Q162J01,Q162J01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Seagirt Blvd bet. B. 12 St. and B. 9 St.,Beach 9 Playground,POINT (1055178.089430809 156450.3082123101),Adults Allowed,Q162J01-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
Q,Completely Locked,06/23/2020 12:29:08 PM,Q343,Q343,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"11 Ave., 12 Ave. bet. 152 St. and 154 St.",Whitestone Playground,POINT (1037387.462610558 227838.4151077271),Adults Allowed,Q343-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:29:06 PM,407,Q-07
B,Completely Locked,06/22/2020 12:39:48 PM,B396,B396,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Watkins St., Mother Gaston Blvd., Livonia Ave., Riverdale Ave.",Nehemiah Park,POINT (1010435.843285561 180437.1021021456),Adults Allowed,B396-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,316,B-16
M,Completely Locked,06/19/2020 10:11:51 AM,M195,M195,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Lewis St. bet. Delancey St. and Broome St.,Sidney Hillman Playground,POINT (989914.3128063828 199894.5749981403),Adults Allowed,M195-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 12:00:00 AM,103,M-03
M,Completely Locked,06/22/2020 04:02:37 PM,M386,M386,,Reopened,false,Not Applicable,"Front St., John St., and South St.",Imagination Playground,POINT (983052.3609791399 196620.1675049812),Adults Allowed,M386-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,101,M-01
B,Completely Locked,06/22/2020 01:55:05 PM,B268,B268,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Public Beach, W. 29 St. and W. 32 St.",Nautilus Playground,POINT (985453.3230407238 147559.1859027296),Adults Allowed,B268-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,313,B-13
M,Partially Locked,06/22/2020 12:56:32 PM,M245,M245,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"7 Ave. To 8 Ave., W. 143 St. To W. 144 St.",Renaissance Playground,POINT (1000360.3631084709 238583.48515297472),Adults Allowed,M245-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,110,M-10
B,Completely Locked,06/22/2020 01:55:05 PM,B169B,B169B,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Surf Ave. bet. W. 25 St. to W. 27 St., Boardwalk",Poseidon Playground,POINT (986411.0448785573 147668.5203297287),Adults Allowed,B169B-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,313,B-13
B,Completely Locked,06/23/2020 10:09:07 AM,B073,B073-20,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,11 St & Prospect Park W,Harmony Playground,POINT (990632.9744268061 181023.3414152265),Unknown,B073-CPA-0006,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,355,B-19
X,Completely Locked,06/22/2020 11:20:51 AM,X039,X039-02,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Bruckner Exwy, Wilkinson Ave",Sweetgum Plgd,POINT (1032323.9605984691 249465.6855013967),Unknown,X039-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,228,X-15
Q,Completely Locked,06/21/2020 04:56:36 PM,Q266,Q266,,Reopened,false,Not Applicable,"Mott Ave., Westbourne Ave. bet. Bay 28 St. and Bay 25 St.",Westbourne Playground,POINT (1049536.25524205 161040.2508040667),Adults Allowed,Q266-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
B,Completely Locked,06/24/2020 11:33:44 AM,B032,B032-01,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Myrtle Ave & St Edwards Plaza,Fort Greene Plgd,POINT (990629.7654437274 191546.0526532233),Unknown,B032-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,302,B-02
M,Completely Locked,06/19/2020 10:06:57 AM,M033,M033,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E Houston St, Stanton St, Sheriff St, Pitt St",Hamilton Fish Park,POINT (989667.7916458845 201651.7965493053),Unknown,M033-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 12:00:00 AM,103,M-03
X,Not Lockable,06/22/2020 09:46:37 AM,X028,X028,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Grand Concourse to Walton Av bet. E 161 St and E 164 St,Joyce Kilmer Park,POINT (1005850.536183223 241553.7931887209),Adults not allowed in some locations,X028-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,204,X-04
Q,Completely Locked,06/21/2020 01:03:44 PM,Q308,Q308,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Union St. bet. Barclay Ave. and Sanford Ave.,Bowne Playground,POINT (1032819.538675562 215485.3492627293),Adults Allowed,Q308-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 01:03:42 PM,407,Q-07
B,Completely Locked,06/22/2020 12:46:35 PM,B397,B397,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Christopher Ave. between Sutter Ave. and Belmont Ave.,Carter G. Woodson Children's Park,POINT (1010374.8073183891 182747.5525337309),Adults Allowed,B397-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,316,B-16
X,Completely Locked,06/22/2020 10:26:49 AM,X274,X274,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Creston Ave. bet. E. Burnside Ave. and E,Mount Hope Garden,POINT (1010431.252415478 249898.2974970639),Adults not allowed in some locations,X274-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,205,X-05
X,Completely Locked,06/22/2020 10:06:20 AM,X222,X222,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,3 Av bet. E 170 St and St Paul's Pl,Gouverneur Playground,POINT (1011011.599679977 243870.2882276475),Adults Allowed,X222-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
B,Completely Locked,06/22/2020 04:42:23 PM,B243,B243,,Reopened,false,Not Applicable,Gold St. between Nassau St. and Concord St.,Golconda Playground,POINT (989044.4119871408 193474.3598202318),Adults Allowed,B243-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,302,B-02
B,Completely Locked,06/22/2020 01:55:05 PM,B331,B331,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W. 12 St. between Neptune Ave. and Surf Ave.,Neptune Playground,POINT (989627.0158088058 149927.6805095673),Adults Allowed,B331-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,313,B-13
Q,Completely Locked,06/22/2020 02:22:02 PM,Q492,Q492,,Reopened,false,Not Applicable,"Grand Ave., 57 Ave. bet. 74 St. and 80 St.",Elmhurst Park,POINT (1016133.812860727 205308.8489464819),Adults not allowed in some locations,Q492-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 02:22:00 PM,404,Q-04
B,Completely Locked,06/22/2020 01:55:05 PM,BZ10,BZ10,,Reopened,false,Not Applicable,B 14 St & Corbin Place,Babi Yar Triangle,POINT (996847.9767605514 150345.602245897),Unknown,BZ10-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,313,B-13
B,Completely Locked,06/22/2020 04:20:06 PM,B255C,B255C,,Reopened,false,Not Applicable,17 St. bet. 5 Ave. and 6 Ave.,Purple Playground,POINT (987073.0888300537 180888.8390595615),Adults Allowed,B255C-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,307,B-07
B,Partially Locked,06/22/2020 12:29:29 PM,B261,B261,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Livonia Ave. between Barbey St. and Schenck Ave.,Sankofa Park,POINT (1015788.043211058 181751.9193543941),Adults Allowed,B261-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,305,B-05
M,Partially Locked,06/22/2020 10:58:58 AM,M220,M220,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Amsterdam Ave bet. W. 100 St. and W 102 St.,Frederick Douglass Playground,POINT (993117.0964270533 229566.50089038914),Adults Allowed,M220-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,107,M-07
M,Completely Locked,06/22/2020 11:20:04 AM,M010,M010-202,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,100 St & Central Park West,West 100th St Plgd,POINT (994587.6476197987 228487.5522608906),Unknown,M010-CPA-0017,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,164,M-13
M,Completely Locked,06/22/2020 03:13:55 PM,M218,M218,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Spring St. and Mulberry St.,DeSalvio Playground,POINT (985297.6258455514 202184.8181210607),Adults Allowed,M218-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,102,M-02
Q,Completely Locked,06/22/2020 02:25:20 PM,Q450,Q450,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"109 St., 111 St. bet. 46 Ave. and 47 Ave.",Corona Golf Playground,POINT (1024681.215057224 211708.9378523082),Adults Allowed,Q450-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 02:25:18 PM,404,Q-04
B,Completely Locked,06/22/2020 04:15:01 PM,B100,B100,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W. 12 St. bet. Bay Pkwy. and Ave. P,Seth Low Playground/ Bealin Square,POINT (988130.4912428111 160986.1475658119),Adults not allowed in some locations,B100-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,311,B-11
X,Not Lockable,06/22/2020 10:40:09 AM,X201,X201-01,,Reopened,false,Not Applicable,W 235 St & Douglas Ave,Seton Park Playground,POINT (1007177.281233132 262340.1663140656),Adults not allowed in some locations,X201-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,208,X-08
X,Completely Locked,06/22/2020 11:02:56 AM,X148L,X148L,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,McGraw Av bet. White Plains Rd and Virginia Av,Virginia Playground,POINT (1022368.8830677269 243250.3504911363),Adults Allowed,X148L-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,209,X-09
R,Completely Locked,06/22/2020 05:12:07 PM,R008,R008,,Reopened,false,Not Applicable,"Richmond Ter. To Kill Van Kull, Faber St.",Faber Pool and Park,POINT (946685.7959171385 173042.6296864003),Adults not allowed in some locations,R008-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 05:12:04 PM,501,R-01
X,Not Lockable,06/22/2020 10:10:30 AM,X010,X010-08,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Crotona E-Claremont, Prospect",Martin Van Buren Plgd,POINT (1013060.135281056 243653.116089806),Adults not allowed in some locations,X010-CPA-0007,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
M,Completely Locked,06/22/2020 01:09:29 PM,M292,M292,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. 101 St. bet. 3 Ave. and Lexington Ave.,Sunshine Playground,POINT (998672.04594706 226533.85374048352),Adults not allowed in some locations,M292-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,111,M-11
R,Completely Locked,06/22/2020 04:54:45 PM,R042,R042,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Virginia Ave. and Anderson St.,Kaltenmeier Playground,POINT (965173.9456205517 163240.4334115535),Adults Allowed,R042-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 04:54:43 PM,501,R-01
X,Completely Locked,06/22/2020 11:00:58 AM,X262,X262,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Bolton Ave. bet. O'Brien Ave. and G St.,Harding Park,POINT (1023928.008558393 234332.3243639767),Adults Allowed,X262-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,209,X-09
Q,Partially Locked,06/23/2020 11:06:50 AM,Q300A,Q300A-01,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Peck Ave & 188 St,Underhill Playground,POINT (1043022.397862971 210693.5225603133),Unknown,Q300A-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 11:00:00 AM,411,Q-11
M,Completely Locked,06/22/2020 03:17:05 PM,M098,M098-02,,Reopened,false,Not Applicable,"Washington Sq N, West Of 5th Ave",Washington Square Park,POINT (984920.1023223847 205789.04122756422),Adults not allowed in some locations,M098-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,102,M-02
X,Completely Locked,06/22/2020 10:01:56 AM,X190,X190,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Fox St to Tiffany St bet. E 167 St and E 165 St,Tiffany Playground,POINT (1013544.321320549 239699.14565131074),Adults Allowed,X190-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,202,X-02
Q,Completely Locked,06/23/2020 11:10:39 AM,Q328,Q328,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,85 Ave. bet. 248 St. and 249 St.,Bellerose Playground,POINT (1062450.530922636 206462.8633707315),Adults Allowed,Q328-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 11:10:37 AM,413,Q-13
B,Completely Locked,06/22/2020 03:20:48 PM,B127,B127,,Reopened,,,Scholes St. bet. Manhattan Ave. and Graham Ave.,Martinez Playground,POINT (999608.5257013888 197615.4621023089),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
Q,Partially Locked,06/21/2020 04:56:36 PM,Q162H,Q162H,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Rockaway Boardwalk bet. B. 32 St and B. 28 St.,Beach 30th Street Playground,POINT (1050445.645483643 155251.3962400556),Adults not allowed in some locations,Q162H-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
B,Completely Locked,06/22/2020 02:31:52 PM,B139,B139,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Linden St. bet. Central Ave. and Wilson Ave.,Heckscher Playground,POINT (1006842.743188307 192445.5505261421),Adults not allowed in some locations,B139-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,304,B-04
Q,Partially Locked,06/21/2020 11:27:34 AM,Q338,Q338,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Little Neck Pkwy. bet. 42 Ave. and 43 Ave.,Admiral Playground,POINT (1056928.03770256 220298.8117486387),Unknown,Q338-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 11:27:31 AM,411,Q-11
X,Completely Locked,06/22/2020 10:05:28 AM,X206,X206,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 168 St bet.  Park Av and Washington Av,Morgan Playground,POINT (1009840.227678895 242437.4508702308),Adults Allowed,X206-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
M,Completely Locked,06/22/2020 11:04:20 AM,M233,M233,,Reopened,true,Level 1: Playgrounds for All Children,W. 70 St. bet. W. End Ave. and Amsterdam Ave.,Matthew P. Sapolin Playground,POINT (988709.9651494771 222541.4070009738),Adults Allowed,M233-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,107,M-07
B,Partially Locked,06/22/2020 03:28:45 PM,B210W,B210W,,Reopened,,,,John J Carty Park,POINT (976134.8152167721 163164.6927027175),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,310,B-10
M,Partially Locked,06/22/2020 05:17:17 PM,M164,M164,,Reopened,true,Level 1: Playgrounds for All Children,"E. 23 St. To E. 25 St., FDR Drive",Asser Levy Playground,POINT (991033.5572870524 207609.2649493068),Adults Allowed,M164-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,106,M-06
B,Completely Locked,06/22/2020 03:23:55 PM,B311,B311,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Scholes St bet. Bushwick Av and Waterbury St,Ten Eyck Playground,POINT (1001283.553519309 197553.9090758115),Unknown,B311-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
X,Not Lockable,06/22/2020 10:28:29 AM,X111,X111,,Reopened,false,Not Applicable,W 179 St bet. Cedar Av and Sedgwick Av,Cedar Playground,POINT (1007100.6140636349 250868.8552672267),Adults Allowed,X111-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,205,X-05
M,Completely Locked,06/22/2020 11:18:34 AM,M010,M010-193,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,97 St & Central Park West,Rudin Plgd,POINT (994204.7809314728 227783.35025723284),Unknown,M010-CPA-0015,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,164,M-13
Q,Completely Locked,06/21/2020 06:41:49 PM,Q038,Q038,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Madison St. bet. 60 Pl. and Fresh Pond Rd.,Benninger Playground,POINT (1012402.7091024672 196909.72794947034),Adults Allowed,Q038-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:00:00 AM,405,Q-05
M,Completely Locked,06/22/2020 11:02:38 AM,M063,M063,true,Reopened,,,,Gertrude Ederle Playground,POINT (987406.4464310558 220271.7461859733),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,107,M-07
Q,Partially Locked,06/21/2020 11:31:25 AM,Q103,Q103,,Reopened,false,Not Applicable,"32 Ave., 33 Ave. bet. Corporal Kennedy St. and 210 St.",Kennedy Playground,POINT (1045343.6819342971 220237.7836554796),Adults not allowed in some locations,Q103-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 11:31:22 AM,411,Q-11
Q,Completely Locked,06/21/2020 04:59:09 PM,Q389,Q389,,UnderConstruction,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Beach Channel Dr. bet. Beach 104 St. and Seaside Ave.,Bayside Playground,POINT (1032885.7468764781 152450.1262520552),Adults Allowed,Q389-CPA-0001,03/31/2020 07:11:11 PM,,414,Q-14
R,Not Lockable,06/22/2020 02:58:36 PM,R100,R100,,Reopened,false,Not Applicable,"Drumgoole Rd. W., Grantwood Ave., Carlton Ave., Rathbun Ave.",Drumgoole Tot Lot,POINT (934213.8753229678 139396.5814930648),Adults Allowed,R100-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,503,R-03
B,Completely Locked,06/22/2020 01:05:46 PM,B156,B156,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Sackman To Powell Sts bet. Glenmore and Pit,Powell Playground,POINT (1010662.615469798 183830.800695315),Unknown,B156-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,316,B-16
B,Completely Locked,06/24/2020 02:55:35 PM,B291,B291,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Ave. N between E. 49 St. and Utica Ave.,Power Playground,POINT (1004463.8414500501 164633.9079868048),Adults Allowed,B291-CPA-0001,03/31/2020 07:11:11 PM,06/24/2020 12:00:00 AM,318,B-18
X,Partially Locked,06/22/2020 10:43:21 AM,X033,X033-04,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W Mosholue Pkwy N, Gates Pl",Knox-Gates Playground,POINT (1015995.676982135 260592.0982878953),Adults not allowed in some locations,X033-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,207,X-07
M,Partially Locked,06/19/2020 11:00:50 AM,M017,M017,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Jackson St, Cherry St, FDR Drive",Corlears Hook Park,POINT (989960.4531340599 198466.9991131425),Adults Allowed,M017-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 12:00:00 AM,103,M-03
B,Completely Locked,06/22/2020 03:09:11 PM,B124,B124,,Reopened,false,Not Applicable,Wythe Ave. bet. Grand St. and S. 1 St.,William Sheridan Playground,POINT (994255.5341107992 199884.52843031293),Adults Allowed,B124-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
Q,Completely Locked,06/22/2020 05:10:38 PM,Q370,Q370,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Vleigh Pl., Main St. bet. 73 Ter. and 76 Ave.",Freedom Square Playground,POINT (1034077.342590392 202799.2306061387),Adults not allowed in some locations,Q370-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,408,Q-08
M,Completely Locked,06/22/2020 03:57:31 PM,M321,M321,,Reopened,false,Not Applicable,"E. 12 St., E. 11 St. bet. 1 Ave. and Ave. A",Lower East Side Playground,POINT (988939.7222358882 204979.1429129839),Unknown,M321-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 12:00:00 AM,103,M-03
X,Not Lockable,06/22/2020 11:12:25 AM,X172,X172,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Allerton Ave. bet. Throop Ave. and Bouck Ave.,Allerton Playground,POINT (1025596.847740382 254669.15376897162),Adults Allowed,X172-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,211,X-11
X,Completely Locked,06/22/2020 10:38:37 AM,X080,X080-03,,Reopened,false,Not Applicable,Kappock St Btw Independence & Palisade Aves,Henry Hudson Playground (West),POINT (1006205.609291971 260307.1815348864),Adults not allowed in some locations,X080-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,208,X-08
M,Completely Locked,06/22/2020 01:04:22 PM,M058,M058-07,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,124 St Btwn 5 Ave And Mt Morris Park West,Marcus Garvey Memorial Park,POINT (999891.3026948869 232882.7449140549),Unknown,M058-CPA-0004,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,111,M-11
B,Completely Locked,06/22/2020 01:33:34 PM,B342,B342,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Glenwood Rd. between E. 100 St. and E. 101 St.,100% Playground,POINT (1012353.883412719 174780.8319186419),Adults not allowed in some locations,B342-CPA-0002,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
